top_k,question_id,question,answer,faithfulness,answer_relevance,context_precision,context_recall,evaluation_time,timestamp
3,test_2190,"Windows зависает, что делать?","Подождите несколько минут. Если не помогает — нажмите Ctrl+Alt+Del, откройте «Диспетчер задач» и завершите зависшую программу. В крайнем случае — перезагрузка.",0.76,0.7,0.065,0.159,0.000239,2026-05-12T18:38:19.788092
3,test_2608,Как безопасно удалить файлы?,Обычное удаление не стирает данные полностью. Используйте специализированные утилиты для безопасного удаления или обратитесь в IT.,0.418,0.273,0.043,0.138,0.00031,2026-05-12T18:38:20.659799
3,test_2609,Как заказать новое оборудование?,"Чтобы заказать новое оборудование, подайте заявку в Service Desk с указанием необходимого оборудования и обоснованием. После согласования с руководителем IT выдаст оборудование.",0.478,0.347,0.052,0.147,0.000515,2026-05-12T18:38:21.466823
3,test_2610,Как создать общую папку для отдела?,Обратитесь в IT для создания общей папки на файловом сервере или в SharePoint. Укажите список пользователей и права доступа.,0.472,0.34,0.088,0.179,0.000328,2026-05-12T18:38:22.319855
3,test_2611,Не открывается PDF-файл.,Установите Adobe Reader или используйте браузер для открытия PDF. Если файл повреждён — запросите новую копию.,0.435,0.294,0.046,0.142,0.000275,2026-05-12T18:38:23.107856
3,test_2612,Не работает копирование/вставка.,"К сожалению, я не нашел ответа на этот вопрос в базе знаний.",0.247,0.059,0.032,0.128,0.000266,2026-05-12T18:38:24.711974
3,test_2613,Как очистить историю браузера?,"Для очистки истории браузера воспользуйтесь следующими комбинациями клавиш:
- Chrome: Ctrl+H → Очистить историю.
- Firefox: Ctrl+Shift+Del.
- Edge: Ctrl+H → Очистить данные просмотра. 
Выберите нужный период и типы данных для удаления.",0.426,0.283,0.061,0.155,0.000109,2026-05-12T18:38:25.961614
3,test_2614,Не печатается PDF-файл.,"К сожалению, я не нашел ответа на этот вопрос в базе знаний.",0.248,0.06,0.022,0.12,0.00024,2026-05-12T18:38:27.290334
3,test_2615,Экран стал черным после обновления.,"Подождите несколько минут — возможно, идёт завершение обновления. Если не помогло — перезагрузите компьютер. Обратитесь в IT при повторении проблемы.",0.426,0.283,0.039,0.135,0.00024,2026-05-12T18:38:28.096248
3,test_2616,CRM работает медленно.,"Проверьте интернет-соединение. Закройте лишние вкладки браузера и очистите кэш браузера. Если проблема не решается, возможно, сервер CRM перегружен — попробуйте работать в часы меньшей нагрузки или обратитесь в Service Desk.",0.381,0.226,0.047,0.142,0.000255,2026-05-12T18:38:29.136828
3,test_2617,Как экспортировать данные из CRM?,"Чтобы экспортировать данные из CRM, откройте нужный раздел (например, «Клиенты», «Сделки», «Задачи»), при необходимости примените фильтры, затем нажмите «Экспорт», выберите формат файла (Excel или CSV), настройте поля для экспорта и сохраните файл. Экспорт больших объёмов данных может занять некоторое время.",0.31,0.137,0.098,0.188,0.000184,2026-05-12T18:38:30.416651
3,test_2618,Забыл пароль от CRM.,Используйте функцию «Забыли пароль?» на странице входа. Введите email и следуйте инструкциям в письме. Или обратитесь в Service Desk для сброса пароля.,0.45,0.312,0.065,0.158,0.000238,2026-05-12T18:38:31.162675
3,test_2619,Как создать правило сортировки писем?,"В Outlook: Главная → Правила → Создать правило. Выберите условия (от кого, тема, ключевые слова) и действия (переместить в папку, пометить, переслать).",0.6,0.5,0.06,0.154,0.0003,2026-05-12T18:38:31.987622
3,test_2620,Как подключить корпоративную почту на телефон?,"Откройте приложение почты, добавьте новую учётную запись, выберите Exchange или Office 365, введите email и пароль. Разрешите настройку устройства, если требуется, и настройте уведомления. Почта начнёт синхронизироваться.

Или:

Перейдите в «Настройки» → «Почта» → «Добавить учётную запись» → «Exchange», введите email и пароль. Сервер настроится автоматически, если нет — обратитесь в IT.",0.393,0.241,0.101,0.191,0.00027,2026-05-12T18:38:33.644482
